Year,Qtr,Area Type,State,Area,Ownership,Industry,Annual Average Status Code,Annual Average Establishment Count,Annual Average Employment,Annual Total Wages,Annual Average Weekly Wage,Annual Average Pay,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2017,A,County,Alabama,"Coosa County, Alabama",Total Covered,"10 Total, all industries",,122,"1,384","50,160,998",697,"36,241",1.00,1.00
2017,A,County,Alabama,"Covington County, Alabama",Total Covered,"10 Total, all industries",,899,"12,453","444,212,298",686,"35,671",1.00,1.00
2017,A,County,Alabama,"Crenshaw County, Alabama",Total Covered,"10 Total, all industries",,258,"3,725","129,744,378",670,"34,834",1.00,1.00
2017,A,County,Alabama,"Cullman County, Alabama",Total Covered,"10 Total, all industries",,"1,823","28,737","1,087,015,583",727,"37,826",1.00,1.00
2017,A,County,Alabama,"Dale County, Alabama",Total Covered,"10 Total, all industries",,873,"16,797","897,823,036","1,028","53,450",1.00,1.00
2017,A,County,Alabama,"Dallas County, Alabama",Total Covered,"10 Total, all industries",,849,"12,471","458,581,877",707,"36,772",1.00,1.00
2017,A,County,Alabama,"DeKalb County, Alabama",Total Covered,"10 Total, all industries",,"1,174","21,076","760,485,589",694,"36,084",1.00,1.00
2017,A,County,Alabama,"Elmore County, Alabama",Total Covered,"10 Total, all industries",,"1,373","19,853","689,691,018",668,"34,739",1.00,1.00
2017,A,County,Alabama,"Escambia County, Alabama",Total Covered,"10 Total, all industries",,845,"12,831","494,114,095",741,"38,510",1.00,1.00
2017,A,County,Alabama,"Etowah County, Alabama",Total Covered,"10 Total, all industries",,"2,065","36,208","1,306,244,931",694,"36,076",1.00,1.00
2017,A,County,Alabama,"Fayette County, Alabama",Total Covered,"10 Total, all industries",,336,"4,046","132,082,222",628,"32,648",1.00,1.00
2017,A,County,Alabama,"Franklin County, Alabama",Total Covered,"10 Total, all industries",,572,"10,548","368,301,226",671,"34,917",1.00,1.00
2017,A,County,Alabama,"Geneva County, Alabama",Total Covered,"10 Total, all industries",,493,"4,889","158,855,505",625,"32,496",1.00,1.00
2017,A,County,Alabama,"Greene County, Alabama",Total Covered,"10 Total, all industries",,162,"1,763","60,051,745",655,"34,054",1.00,1.00
2017,A,County,Alabama,"Hale County, Alabama",Total Covered,"10 Total, all industries",,277,"2,734","97,512,449",686,"35,662",1.00,1.00
2017,A,County,Alabama,"Henry County, Alabama",Total Covered,"10 Total, all industries",,335,"3,274","135,072,239",793,"41,254",1.00,1.00
2017,A,County,Alabama,"Houston County, Alabama",Total Covered,"10 Total, all industries",,"2,947","47,744","1,954,378,459",787,"40,934",1.00,1.00
2017,A,County,Alabama,"Jackson County, Alabama",Total Covered,"10 Total, all industries",,967,"15,784","558,224,912",680,"35,367",1.00,1.00
2017,A,County,Alabama,"Jefferson County, Alabama",Total Covered,"10 Total, all industries",,"18,577","344,402","18,700,249,210","1,044","54,298",1.00,1.00
2017,A,County,Alabama,"Lamar County, Alabama",Total Covered,"10 Total, all industries",,281,"3,493","131,911,192",726,"37,764",1.00,1.00
2017,A,County,Alabama,"Lauderdale County, Alabama",Total Covered,"10 Total, all industries",,"2,093","29,655","1,021,459,717",662,"34,445",1.00,1.00
2017,A,County,Alabama,"Lawrence County, Alabama",Total Covered,"10 Total, all industries",,440,"4,787","160,442,524",645,"33,517",1.00,1.00
2017,A,County,Alabama,"Lee County, Alabama",Total Covered,"10 Total, all industries",,"3,137","58,339","2,250,784,322",742,"38,581",1.00,1.00
2017,A,County,Alabama,"Limestone County, Alabama",Total Covered,"10 Total, all industries",,"1,437","23,254","1,100,951,899",910,"47,346",1.00,1.00
2017,A,County,Alabama,"Lowndes County, Alabama",Total Covered,"10 Total, all industries",,165,"2,330","107,597,331",888,"46,187",1.00,1.00
2017,A,County,Alabama,"Macon County, Alabama",Total Covered,"10 Total, all industries",,232,"4,830","199,881,727",796,"41,386",1.00,1.00
2017,A,County,Alabama,"Madison County, Alabama",Total Covered,"10 Total, all industries",,"9,573","195,702","11,271,962,429","1,108","57,598",1.00,1.00
2017,A,County,Alabama,"Marengo County, Alabama",Total Covered,"10 Total, all industries",,518,"7,107","277,357,985",751,"39,028",1.00,1.00
2017,A,County,Alabama,"Marion County, Alabama",Total Covered,"10 Total, all industries",,626,"9,896","338,622,515",658,"34,218",1.00,1.00
2017,A,County,Alabama,"Marshall County, Alabama",Total Covered,"10 Total, all industries",,"2,074","36,538","1,281,811,049",675,"35,082",1.00,1.00
2017,A,County,Alabama,"Mobile County, Alabama",Total Covered,"10 Total, all industries",,"10,134","170,070","7,912,260,702",895,"46,524",1.00,1.00
2017,A,County,Alabama,"Monroe County, Alabama",Total Covered,"10 Total, all industries",,443,"6,119","255,307,866",802,"41,725",1.00,1.00
2017,A,County,Alabama,"Montgomery County, Alabama",Total Covered,"10 Total, all industries",,"6,406","132,033","5,952,771,603",867,"45,085",1.00,1.00
2017,A,County,Alabama,"Morgan County, Alabama",Total Covered,"10 Total, all industries",,"2,794","47,098","2,067,495,723",844,"43,898",1.00,1.00
2017,A,County,Alabama,"Perry County, Alabama",Total Covered,"10 Total, all industries",,153,"2,111","64,676,165",589,"30,632",1.00,1.00
2017,A,County,Alabama,"Pickens County, Alabama",Total Covered,"10 Total, all industries",,338,"3,855","143,124,617",714,"37,129",1.00,1.00
2017,A,County,Alabama,"Pike County, Alabama",Total Covered,"10 Total, all industries",,690,"14,374","567,816,049",760,"39,504",1.00,1.00
2017,A,County,Alabama,"Randolph County, Alabama",Total Covered,"10 Total, all industries",,378,"4,815","156,919,368",627,"32,587",1.00,1.00
2017,A,County,Alabama,"Russell County, Alabama",Total Covered,"10 Total, all industries",,899,"13,960","513,012,122",707,"36,749",1.00,1.00
2017,A,County,Alabama,"St. Clair County, Alabama",Total Covered,"10 Total, all industries",,"1,496","19,654","728,281,614",713,"37,054",1.00,1.00
2017,A,County,Alabama,"Shelby County, Alabama",Total Covered,"10 Total, all industries",,"5,801","84,811","4,398,577,216",997,"51,864",1.00,1.00
2017,A,County,Alabama,"Sumter County, Alabama",Total Covered,"10 Total, all industries",,233,"2,963","114,739,800",745,"38,731",1.00,1.00
2017,A,County,Alabama,"Talladega County, Alabama",Total Covered,"10 Total, all industries",,"1,353","29,119","1,323,297,432",874,"45,444",1.00,1.00
2017,A,County,Alabama,"Tallapoosa County, Alabama",Total Covered,"10 Total, all industries",,835,"13,300","454,320,900",657,"34,159",1.00,1.00
2017,A,County,Alabama,"Tuscaloosa County, Alabama",Total Covered,"10 Total, all industries",,"4,562","92,787","4,136,132,179",857,"44,577",1.00,1.00
2017,A,County,Alabama,"Walker County, Alabama",Total Covered,"10 Total, all industries",,"1,368","17,965","668,485,772",716,"37,210",1.00,1.00
2017,A,County,Alabama,"Washington County, Alabama",Total Covered,"10 Total, all industries",,259,"3,590","216,526,990","1,160","60,315",1.00,1.00
2017,A,County,Alabama,"Wilcox County, Alabama",Total Covered,"10 Total, all industries",,234,"2,816","120,815,711",825,"42,905",1.00,1.00
2017,A,County,Alabama,"Winston County, Alabama",Total Covered,"10 Total, all industries",,486,"7,713","271,541,091",677,"35,207",1.00,1.00
2017,A,County,Alabama,"Unknown Or Undefined, Alabama",Total Covered,"10 Total, all industries",,"12,950","50,534","3,462,327,483","1,318","68,515",1.00,1.00
2017,A,County,Alaska,"Aleutians East Borough, Alaska",Total Covered,"10 Total, all industries",,102,"2,394","130,810,556","1,051","54,651",1.00,1.00
2017,A,County,Alaska,"Aleutians West Census Area, Alaska",Total Covered,"10 Total, all industries",,176,"3,385","199,411,816","1,133","58,906",1.00,1.00
2017,A,County,Alaska,"Anchorage Municipality, Alaska",Total Covered,"10 Total, all industries",,"8,196","148,964","8,376,058,601","1,081","56,229",1.00,1.00
2017,A,County,Alaska,"Bethel Census Area, Alaska",Total Covered,"10 Total, all industries",,349,"6,988","289,515,952",797,"41,431",1.00,1.00
2017,A,County,Alaska,"Bristol Bay Borough, Alaska",Total Covered,"10 Total, all industries",,114,"1,207","60,659,574",966,"50,239",1.00,1.00
2017,A,County,Alaska,"Denali Borough, Alaska",Total Covered,"10 Total, all industries",,137,"2,223","99,306,510",859,"44,669",1.00,1.00
2017,A,County,Alaska,"Dillingham Census Area, Alaska",Total Covered,"10 Total, all industries",,155,"2,550","115,021,748",867,"45,104",1.00,1.00
2017,A,County,Alaska,"Fairbanks North Star Borough, Alaska",Total Covered,"10 Total, all industries",,"2,267","36,392","1,862,376,604",984,"51,175",1.00,1.00
2017,A,County,Alaska,"Haines Borough, Alaska",Total Covered,"10 Total, all industries",,154,975,"36,538,809",721,"37,466",1.00,1.00
2017,A,County,Alaska,"Hoonah-Angoon Census Area, Alaska",Total Covered,"10 Total, all industries",,134,783,"27,832,023",683,"35,530",1.00,1.00
2017,A,County,Alaska,"Juneau City and Borough, Alaska",Total Covered,"10 Total, all industries",,"1,122","17,302","886,205,330",985,"51,219",1.00,1.00
2017,A,County,Alaska,"Kenai Peninsula Borough, Alaska",Total Covered,"10 Total, all industries",,"1,985","19,495","926,257,410",914,"47,513",1.00,1.00
2017,A,County,Alaska,"Ketchikan Gateway Borough, Alaska",Total Covered,"10 Total, all industries",,605,"7,367","340,120,430",888,"46,170",1.00,1.00
2017,A,County,Alaska,"Kodiak Island Borough, Alaska",Total Covered,"10 Total, all industries",,484,"6,081","274,201,604",867,"45,092",1.00,1.00
2017,A,County,Alaska,"Kusilvak Census Area, Alaska",Total Covered,"10 Total, all industries",,142,"2,366","63,478,701",516,"26,833",1.00,1.00
2017,A,County,Alaska,"Lake and Peninsula Borough, Alaska",Total Covered,"10 Total, all industries",,122,913,"37,712,190",794,"41,310",1.00,1.00
2017,A,County,Alaska,"Matanuska-Susitna Borough, Alaska",Total Covered,"10 Total, all industries",,"2,093","22,877","958,988,525",806,"41,919",1.00,1.00
2017,A,County,Alaska,"Nome Census Area, Alaska",Total Covered,"10 Total, all industries",,306,"3,789","188,488,393",957,"49,749",1.00,1.00
2017,A,County,Alaska,"North Slope Borough, Alaska",Total Covered,"10 Total, all industries",,243,"12,418","1,218,235,470","1,887","98,106",1.00,1.00
2017,A,County,Alaska,"Northwest Arctic Borough, Alaska",Total Covered,"10 Total, all industries",,165,"2,793","190,599,228","1,312","68,250",1.00,1.00
2017,A,County,Alaska,"Petersburg Borough, Alaska",Total Covered,"10 Total, all industries",,167,"1,221","54,030,259",851,"44,248",1.00,1.00
2017,A,County,Alaska,"Prince of Wales-Hyder Census Area, Alaska",Total Covered,"10 Total, all industries",,226,"2,158","87,227,945",778,"40,430",1.00,1.00
2017,A,County,Alaska,"Sitka City and Borough, Alaska",Total Covered,"10 Total, all industries",,367,"4,204","184,386,600",844,"43,862",1.00,1.00
2017,A,County,Alaska,"Skagway Municipality, Alaska",Total Covered,"10 Total, all industries",,135,931,"35,983,841",743,"38,633",1.00,1.00
2017,A,County,Alaska,"Southeast Fairbanks Census Area, Alaska",Total Covered,"10 Total, all industries",,254,"2,457","160,930,444","1,260","65,505",1.00,1.00
2017,A,County,Alaska,"Valdez-Cordova Census Area, Alaska",Total Covered,"10 Total, all industries",,550,"4,866","270,380,350","1,068","55,561",1.00,1.00
2017,A,County,Alaska,"Wrangell City and Borough, Alaska",Total Covered,"10 Total, all industries",,93,846,"32,344,973",736,"38,248",1.00,1.00
2017,A,County,Alaska,"Yakutat City and Borough, Alaska",Total Covered,"10 Total, all industries",,43,245,"10,049,735",789,"41,047",1.00,1.00
2017,A,County,Alaska,"Yukon-Koyukuk Census Area, Alaska",Total Covered,"10 Total, all industries",,276,"2,129","77,121,921",697,"36,232",1.00,1.00
2017,A,County,Alaska,"Unknown Or Undefined, Alaska",Total Covered,"10 Total, all industries",,630,"1,818","108,921,502","1,152","59,899",1.00,1.00
2017,A,County,Arizona,"Apache County, Arizona",Total Covered,"10 Total, all industries",,591,"17,849","760,748,586",820,"42,622",1.00,1.00
2017,A,County,Arizona,"Cochise County, Arizona",Total Covered,"10 Total, all industries",,"2,240","33,760","1,511,138,970",861,"44,762",1.00,1.00
2017,A,County,Arizona,"Coconino County, Arizona",Total Covered,"10 Total, all industries",,"3,363","62,078","2,623,779,553",813,"42,266",1.00,1.00
2017,A,County,Arizona,"Gila County, Arizona",Total Covered,"10 Total, all industries",,962,"14,838","599,081,757",776,"40,376",1.00,1.00
2017,A,County,Arizona,"Graham County, Arizona",Total Covered,"10 Total, all industries",,541,"8,921","356,818,157",769,"39,996",1.00,1.00
2017,A,County,Arizona,"Greenlee County, Arizona",Total Covered,"10 Total, all industries",,105,"4,520","295,695,225","1,258","65,416",1.00,1.00
2017,A,County,Arizona,"La Paz County, Arizona",Total Covered,"10 Total, all industries",,357,"5,630","202,697,921",692,"36,001",1.00,1.00
2017,A,County,Arizona,"Maricopa County, Arizona",Total Covered,"10 Total, all industries",,"96,333","1,927,372","101,355,844,508","1,011","52,588",1.00,1.00
2017,A,County,Arizona,"Mohave County, Arizona",Total Covered,"10 Total, all industries",,"3,692","48,983","1,825,785,951",717,"37,274",1.00,1.00
2017,A,County,Arizona,"Navajo County, Arizona",Total Covered,"10 Total, all industries",,"1,652","27,445","1,070,607,869",750,"39,010",1.00,1.00
2017,A,County,Arizona,"Pima County, Arizona",Total Covered,"10 Total, all industries",,"18,633","364,174","16,562,485,473",875,"45,480",1.00,1.00
2017,A,County,Arizona,"Pinal County, Arizona",Total Covered,"10 Total, all industries",,"3,188","60,570","2,504,696,789",795,"41,352",1.00,1.00
2017,A,County,Arizona,"Santa Cruz County, Arizona",Total Covered,"10 Total, all industries",,"1,193","13,152","603,263,321",882,"45,869",1.00,1.00
2017,A,County,Arizona,"Yavapai County, Arizona",Total Covered,"10 Total, all industries",,"5,635","62,951","2,427,787,412",742,"38,566",1.00,1.00
2017,A,County,Arizona,"Yuma County, Arizona",Total Covered,"10 Total, all industries",,"3,199","66,371","2,521,530,374",731,"37,992",1.00,1.00
2017,A,County,Arizona,"Unknown Or Undefined, Arizona",Total Covered,"10 Total, all industries",,"15,852","29,024","2,560,622,748","1,697","88,224",1.00,1.00
2017,A,County,Arkansas,"Arkansas County, Arkansas",Total Covered,"10 Total, all industries",,777,"9,566","381,374,848",767,"39,869",1.00,1.00
2017,A,County,Arkansas,"Ashley County, Arkansas",Total Covered,"10 Total, all industries",,570,"6,613","279,294,982",812,"42,236",1.00,1.00
2017,A,County,Arkansas,"Baxter County, Arkansas",Total Covered,"10 Total, all industries",,"1,228","14,843","513,028,077",665,"34,564",1.00,1.00
2017,A,County,Arkansas,"Benton County, Arkansas",Total Covered,"10 Total, all industries",,"6,411","117,551","6,765,052,044","1,107","57,550",1.00,1.00
2017,A,County,Arkansas,"Boone County, Arkansas",Total Covered,"10 Total, all industries",,971,"13,795","516,907,982",721,"37,471",1.00,1.00
2017,A,County,Arkansas,"Bradley County, Arkansas",Total Covered,"10 Total, all industries",,373,"3,736","124,203,008",639,"33,241",1.00,1.00
2017,A,County,Arkansas,"Calhoun County, Arkansas",Total Covered,"10 Total, all industries",,103,"2,879","152,383,631","1,018","52,923",1.00,1.00
2017,A,County,Arkansas,"Carroll County, Arkansas",Total Covered,"10 Total, all industries",,808,"10,948","323,283,042",568,"29,528",1.00,1.00
2017,A,County,Arkansas,"Chicot County, Arkansas",Total Covered,"10 Total, all industries",,528,"3,118","99,582,196",614,"31,940",1.00,1.00
2017,A,County,Arkansas,"Clark County, Arkansas",Total Covered,"10 Total, all industries",,638,"9,160","315,506,831",662,"34,445",1.00,1.00
2017,A,County,Arkansas,"Clay County, Arkansas",Total Covered,"10 Total, all industries",,387,"3,292","97,216,531",568,"29,530",1.00,1.00
2017,A,County,Arkansas,"Cleburne County, Arkansas",Total Covered,"10 Total, all industries",,667,"6,459","208,860,338",622,"32,336",1.00,1.00
2017,A,County,Arkansas,"Cleveland County, Arkansas",Total Covered,"10 Total, all industries",,131,975,"30,748,095",607,"31,542",1.00,1.00
2017,A,County,Arkansas,"Columbia County, Arkansas",Total Covered,"10 Total, all industries",,716,"7,920","313,779,130",762,"39,621",1.00,1.00
2017,A,County,Arkansas,"Conway County, Arkansas",Total Covered,"10 Total, all industries",,538,"6,385","237,451,942",715,"37,188",1.00,1.00
2017,A,County,Arkansas,"Craighead County, Arkansas",Total Covered,"10 Total, all industries",,"2,852","50,121","1,914,294,195",734,"38,194",1.00,1.00
2017,A,County,Arkansas,"Crawford County, Arkansas",Total Covered,"10 Total, all industries",,"1,255","19,298","684,924,999",683,"35,492",1.00,1.00
2017,A,County,Arkansas,"Crittenden County, Arkansas",Total Covered,"10 Total, all industries",,"1,253","16,504","591,032,124",689,"35,812",1.00,1.00
2017,A,County,Arkansas,"Cross County, Arkansas",Total Covered,"10 Total, all industries",,488,"4,921","163,536,288",639,"33,233",1.00,1.00
2017,A,County,Arkansas,"Dallas County, Arkansas",Total Covered,"10 Total, all industries",,252,"2,781","88,637,507",613,"31,873",1.00,1.00
2017,A,County,Arkansas,"Desha County, Arkansas",Total Covered,"10 Total, all industries",,566,"4,623","159,717,434",664,"34,548",1.00,1.00
2017,A,County,Arkansas,"Drew County, Arkansas",Total Covered,"10 Total, all industries",,547,"6,438","226,198,417",676,"35,133",1.00,1.00
2017,A,County,Arkansas,"Faulkner County, Arkansas",Total Covered,"10 Total, all industries",,"2,820","40,193","1,582,405,439",757,"39,370",1.00,1.00
2017,A,County,Arkansas,"Franklin County, Arkansas",Total Covered,"10 Total, all industries",,371,"4,591","165,788,337",694,"36,110",1.00,1.00
2017,A,County,Arkansas,"Fulton County, Arkansas",Total Covered,"10 Total, all industries",,201,"1,880","55,289,175",566,"29,417",1.00,1.00
2017,A,County,Arkansas,"Garland County, Arkansas",Total Covered,"10 Total, all industries",,"3,120","36,557","1,319,327,578",694,"36,089",1.00,1.00
2017,A,County,Arkansas,"Grant County, Arkansas",Total Covered,"10 Total, all industries",,353,"4,054","154,230,433",732,"38,046",1.00,1.00
2017,A,County,Arkansas,"Greene County, Arkansas",Total Covered,"10 Total, all industries",,902,"15,289","563,195,398",708,"36,836",1.00,1.00
2017,A,County,Arkansas,"Hempstead County, Arkansas",Total Covered,"10 Total, all industries",,514,"7,790","278,093,225",686,"35,698",1.00,1.00
2017,A,County,Arkansas,"Hot Spring County, Arkansas",Total Covered,"10 Total, all industries",,643,"8,452","303,553,294",691,"35,917",1.00,1.00
2017,A,County,Arkansas,"Howard County, Arkansas",Total Covered,"10 Total, all industries",,365,"6,994","229,717,048",632,"32,846",1.00,1.00
2017,A,County,Arkansas,"Independence County, Arkansas",Total Covered,"10 Total, all industries",,908,"15,656","579,216,594",711,"36,996",1.00,1.00
2017,A,County,Arkansas,"Izard County, Arkansas",Total Covered,"10 Total, all industries",,268,"3,052","99,168,385",625,"32,497",1.00,1.00
2017,A,County,Arkansas,"Jackson County, Arkansas",Total Covered,"10 Total, all industries",,452,"5,197","188,365,348",697,"36,243",1.00,1.00
2017,A,County,Arkansas,"Jefferson County, Arkansas",Total Covered,"10 Total, all industries",,"2,125","27,825","1,125,625,650",778,"40,454",1.00,1.00
2017,A,County,Arkansas,"Johnson County, Arkansas",Total Covered,"10 Total, all industries",,497,"8,699","280,352,786",620,"32,227",1.00,1.00
2017,A,County,Arkansas,"Lafayette County, Arkansas",Total Covered,"10 Total, all industries",,178,"1,207","38,490,835",613,"31,892",1.00,1.00
2017,A,County,Arkansas,"Lawrence County, Arkansas",Total Covered,"10 Total, all industries",,424,"3,977","129,208,316",625,"32,492",1.00,1.00
2017,A,County,Arkansas,"Lee County, Arkansas",Total Covered,"10 Total, all industries",,294,"1,925","60,343,918",603,"31,349",1.00,1.00
2017,A,County,Arkansas,"Lincoln County, Arkansas",Total Covered,"10 Total, all industries",,299,"2,782","94,356,902",652,"33,920",1.00,1.00
2017,A,County,Arkansas,"Little River County, Arkansas",Total Covered,"10 Total, all industries",,259,"3,347","167,040,679",960,"49,910",1.00,1.00
2017,A,County,Arkansas,"Logan County, Arkansas",Total Covered,"10 Total, all industries",,510,"5,425","175,354,537",622,"32,321",1.00,1.00
2017,A,County,Arkansas,"Lonoke County, Arkansas",Total Covered,"10 Total, all industries",,"1,293","13,939","478,601,854",660,"34,336",1.00,1.00
2017,A,County,Arkansas,"Madison County, Arkansas",Total Covered,"10 Total, all industries",,267,"3,292","115,004,931",672,"34,938",1.00,1.00
2017,A,County,Arkansas,"Marion County, Arkansas",Total Covered,"10 Total, all industries",,288,"3,744","110,982,410",570,"29,645",1.00,1.00
2017,A,County,Arkansas,"Miller County, Arkansas",Total Covered,"10 Total, all industries",,898,"12,891","494,892,109",738,"38,392",1.00,1.00
2017,A,County,Arkansas,"Mississippi County, Arkansas",Total Covered,"10 Total, all industries",,"1,153","17,878","833,147,465",896,"46,602",1.00,1.00
2017,A,County,Arkansas,"Monroe County, Arkansas",Total Covered,"10 Total, all industries",,310,"2,084","63,728,904",588,"30,581",1.00,1.00
2017,A,County,Arkansas,"Montgomery County, Arkansas",Total Covered,"10 Total, all industries",,175,"1,352","36,784,785",523,"27,213",1.00,1.00
2017,A,County,Arkansas,"Nevada County, Arkansas",Total Covered,"10 Total, all industries",,205,"2,420","87,998,468",699,"36,369",1.00,1.00
2017,A,County,Arkansas,"Newton County, Arkansas",Total Covered,"10 Total, all industries",,131,"1,084","27,635,212",490,"25,484",1.00,1.00
2017,A,County,Arkansas,"Ouachita County, Arkansas",Total Covered,"10 Total, all industries",,665,"6,890","236,028,529",659,"34,258",1.00,1.00
2017,A,County,Arkansas,"Perry County, Arkansas",Total Covered,"10 Total, all industries",,149,"1,196","37,477,796",603,"31,340",1.00,1.00
2017,A,County,Arkansas,"Phillips County, Arkansas",Total Covered,"10 Total, all industries",,784,"5,375","172,411,551",617,"32,076",1.00,1.00
2017,A,County,Arkansas,"Pike County, Arkansas",Total Covered,"10 Total, all industries",,264,"2,574","78,343,980",585,"30,434",1.00,1.00
2017,A,County,Arkansas,"Poinsett County, Arkansas",Total Covered,"10 Total, all industries",,526,"5,254","188,584,024",690,"35,897",1.00,1.00
2017,A,County,Arkansas,"Polk County, Arkansas",Total Covered,"10 Total, all industries",,508,"5,764","180,312,247",602,"31,280",1.00,1.00
2017,A,County,Arkansas,"Pope County, Arkansas",Total Covered,"10 Total, all industries",,"1,844","25,857","1,043,821,372",776,"40,369",1.00,1.00
2017,A,County,Arkansas,"Prairie County, Arkansas",Total Covered,"10 Total, all industries",,269,"1,543","51,939,367",647,"33,669",1.00,1.00
2017,A,County,Arkansas,"Pulaski County, Arkansas",Total Covered,"10 Total, all industries",,"14,323","249,844","12,110,292,470",932,"48,471",1.00,1.00
2017,A,County,Arkansas,"Randolph County, Arkansas",Total Covered,"10 Total, all industries",,402,"5,379","168,094,881",601,"31,253",1.00,1.00
2017,A,County,Arkansas,"St. Francis County, Arkansas",Total Covered,"10 Total, all industries",,744,"7,421","264,000,415",684,"35,575",1.00,1.00
2017,A,County,Arkansas,"Saline County, Arkansas",Total Covered,"10 Total, all industries",,"2,028","23,981","845,993,181",678,"35,278",1.00,1.00
2017,A,County,Arkansas,"Scott County, Arkansas",Total Covered,"10 Total, all industries",,185,"3,059","92,059,697",579,"30,097",1.00,1.00
2017,A,County,Arkansas,"Searcy County, Arkansas",Total Covered,"10 Total, all industries",,174,"1,533","40,314,234",506,"26,295",1.00,1.00
2017,A,County,Arkansas,"Sebastian County, Arkansas",Total Covered,"10 Total, all industries",,"3,693","65,669","2,734,325,714",801,"41,638",1.00,1.00
2017,A,County,Arkansas,"Sevier County, Arkansas",Total Covered,"10 Total, all industries",,315,"4,859","157,255,093",622,"32,363",1.00,1.00
2017,A,County,Arkansas,"Sharp County, Arkansas",Total Covered,"10 Total, all industries",,406,"3,756","109,391,554",560,"29,128",1.00,1.00
2017,A,County,Arkansas,"Stone County, Arkansas",Total Covered,"10 Total, all industries",,278,"2,604","74,554,027",551,"28,630",1.00,1.00
2017,A,County,Arkansas,"Union County, Arkansas",Total Covered,"10 Total, all industries",,"1,306","17,478","824,137,345",907,"47,153",1.00,1.00
2017,A,County,Arkansas,"Van Buren County, Arkansas",Total Covered,"10 Total, all industries",,357,"3,594","124,961,726",669,"34,774",1.00,1.00
2017,A,County,Arkansas,"Washington County, Arkansas",Total Covered,"10 Total, all industries",,"5,943","105,302","4,894,476,557",894,"46,480",1.00,1.00
2017,A,County,Arkansas,"White County, Arkansas",Total Covered,"10 Total, all industries",,"1,812","23,731","862,621,117",699,"36,350",1.00,1.00
2017,A,County,Arkansas,"Woodruff County, Arkansas",Total Covered,"10 Total, all industries",,213,"1,776","61,481,802",666,"34,626",1.00,1.00
2017,A,County,Arkansas,"Yell County, Arkansas",Total Covered,"10 Total, all industries",,425,"6,560","202,378,510",593,"30,850",1.00,1.00
2017,A,County,Arkansas,"Unknown Or Undefined, Arkansas",Total Covered,"10 Total, all industries",,"9,409","34,046","1,993,570,573","1,126","58,555",1.00,1.00
2017,A,County,California,"Alameda County, California",Total Covered,"10 Total, all industries",,"62,447","771,652","57,018,137,454","1,421","73,891",1.00,1.00
